Name,Social,Academics,Athletic,Snack,Nature Lover,Quirky,Artsy,Latitude,Longitude,Review
Gerald Ratner Athletics Center,1,0,1,0,0,0,0,41.79421,-87.60235,315
Smart Museum of Art and Cochraine Woods Art Center,1,0,0,0,0,1,1,41.79346,-87.60029,390
Max Palevsky Residential Commons,1,0,0,0,0,0,0,41.79287,-87.59822,12
Joseph Regenstein Library,1,1,0,0,0,0,0,41.79222,-87.59985,25 (57)
Joe and Rika Mansuetto Library,1,1,0,0,0,0,0,,,-
William Eckardt Research Center,1,1,0,1,0,1,0,41.79201,-87.60196,6
Gwen and Jules Knapp Center for Biomedical Discovery,0,0,0,0,0,0,0,41.79193,-87.60299,7
West Campus Utility Plant,0,0,0,0,0,0,0,41.79291,-87.60476,0
Center for Care and Discovery,1,1,0,0,0,0,0,41.79094,-87.60481,67
Duchossois Center for Advanced Medicine,0,1,0,1,0,0,0,41.78988,-87.60507,98
Cummings Life Science Center,0,0,0,0,0,0,0,41.78987,-87.60257,0
Edward H. Levi Hall,1,1,0,0,1,1,1,41.78946,-87.60079,1
Cobb Lecture Hall,1,1,0,1,1,1,1,41.78891,-87.60103,0
Joseph Bond Chapel,1,0,0,0,0,0,0,41.78865,-87.60049,26
William Raney Harper Memorial Library,1,1,0,0,0,0,0,41.78806,-87.59972,35
"Tower Group (Mitchell Tower, Hutchinson Commons, Reynolds Clubhouse, and Mandel Hall)",1,1,0,1,0,0,0,41.79103,-87.59866,54
Saieh Hall for Economics,1,1,0,1,0,1,0,41.78984,-87.59724,7
Institute for the Study of Ancient Cultures,0,1,0,0,0,0,0,41.78926,-87.59763,360
Rockefeller Memorial Chapel,1,0,0,1,0,1,1,41.78838,-87.59718,78
Robie House,1,1,1,1,1,1,1,41.78977,-87.59612,1092
Charles M Harper Center,1,0,0,1,0,0,0,41.78915,-87.59535,0 (152) [-100]
Ida Noyes Hall,1,1,0,1,0,1,0,41.78818,-87.59525,15
Laboratory Schools,1,1,1,0,0,0,0,41.78833,-87.59372,42
International Hall,1,0,0,1,0,0,1,41.78822,-87.59136,70
South Campus Chiller Plant,1,1,1,1,1,1,1,41.78817,-87.59102,2
The Chicago Theological Seminary,,,,,,,,41.78526,-87.58988,15
Midway Crossings,1,0,1,0,1,0,0,41.78661,-87.59781,-
Laird Bell Law Quadrangle,0,1,0,0,0,0,0,41.78538,-87.59849,47
"Crown Family School of Social Work, Policy, and Practice",1,1,0,0,0,0,0,41.78559,-87.60188,14
Reva and David Logan Center for the Arts,1,1,0,1,0,1,1,41.78534,-87.60406,63
,,,,,,,,,,
Honorable Mentions:,,,,,,,,,,
Woodlawn Residential Commons,1,0,0,1,0,0,0,41.78472,-87.59691,33
Bartlett Dining Commons,1,0,0,1,0,0,0,41.79192,-87.59858,90
Henry Crown Field House,1,0,1,0,0,0,0,41.79356,-87.59896,48
Campus North Residential Commons,1,0,0,1,0,0,0,41.79451,-87.59889,38
Burton-Judson Courts,1,0,0,1,0,0,0,41.78538,-87.6003,16
Renee Granville Grossman Residential Commons,1,0,0,1,0,0,0,41.78481,-87.60038,23
Arley D Cathey Dining Commons,1,0,0,1,0,0,0,41.78504,-87.60053,97
John Crerar Library,1,1,0,1,0,1,1,41.79057,-87.60282,19